mouse_gene,human_gene,confidence
Nckap1,NCKAP1,1
Krit1,KRIT1,1
Anks1b,ANKS1B,1
Psme4,PSME4,1
Zmynd11,ZMYND11,1
Gpatch8,GPATCH8,1
Nfat5,NFAT5,1
Sh3gl2,SH3GL2,1
Ppp1r12b,PPP1R12B,1
Rbfox2,RBFOX2,1
Atp1a3,ATP1A3,1
Ncor1,NCOR1,1
Akap9,AKAP9,1
Ddx17,DDX17,1
Gtf2i,GTF2I,1
Cox16,COX16,1
Ust,UST,1
Usp24,USP24,1
Adk,ADK,1
Ube3c,UBE3C,1
Ppm1h,PPM1H,1
Zfp385b,ZNF385B,1
Rbm6,RBM6,1
Pcdh9,PCDH9,1
Smyd3,SMYD3,1
Ubr5,UBR5,1
Cpeb4,CPEB4,1
Zzef1,ZZEF1,1
Gphn,GPHN,1
Cdh18,CDH18,1
Rapgef6,RAPGEF6,1
Lrrc4c,LRRC4C,1
Nfasc,NFASC,1
Ubn2,UBN2,1
9930021J03Rik,Not found,N/A
Zfyve9,ZFYVE9,1
Elmo1,ELMO1,1
Aak1,AAK1,1
Clasp1,CLASP1,1
Rictor,RICTOR,1
Tmcc1,TMCC1,1
Wnk2,WNK2,1
Huwe1,HUWE1,1
Rbm5,RBM5,1
Grik2,GRIK2,1
Rfx7,RFX7,1
Fam13b,FAM13B,1
Tmem163,TMEM163,1
Rfx3,RFX3,1
Pias1,PIAS1,1
Ddx5,DDX5,1
Osbpl9,OSBPL9,1
Cacna1e,CACNA1E,1
Adcy9,ADCY9,1
Rgs7bp,RGS7BP,1
Rev3l,REV3L,1
Nptn,NPTN,1
Ash1l,ASH1L,1
Eif4g3,EIF4G3,1
7-Sep,Not found,N/A
Sptan1,SPTAN1,1
Mtcl1,MTCL1,1
Grm1,GRM1,1
Arfgef3,ARFGEF3,1
Med12l,MED12L,1
Fars2,FARS2,1
Ewsr1,EWSR1,1
R3hdm2,R3HDM2,1
Thoc2,THOC2,1
Ptpn4,PTPN4,1
Dennd5b,DENND5B,1
Fgfr2,FGFR2,1
Ube2g1,UBE2G1,1
Diaph2,DIAPH2,1
Trio,TRIO,1
Schip1,SCHIP1,1
Neo1,NEO1,1
Clasp2,CLASP2,1
Sfpq,SFPQ,1
Snx29,SNX29,1
Aff4,AFF4,1
Jakmip2,JAKMIP2,1
Rsf1,RSF1,1
Btbd9,BTBD9,1
Pkn2,PKN2,1
Hcn1,HCN1,1
Lpp,LPP,1
Btaf1,BTAF1,1
Iqsec1,IQSEC1,1
Trhde,TRHDE,1
5330438D12Rik,Not found,
Papola,PAPOLA,1
Numb,NUMB,1
Ncald,NCALD,1
Rap1gds1,RAP1GDS1,1
Ankrd11,ANKRD11,1
Brinp3,BRINP3,1
Cyfip2,CYFIP2,1
Sbno1,SBNO1,1
Mark3,MARK3,1
Gbf1,GBF1,1
Hook3,HOOK3,1
Nedd4,NEDD4,1
Zfp148,ZNF148,1
AY036118,Not found,N/A
Mef2a,MEF2A,1
Syne1,SYNE1,1
Arih1,ARIH1,1
Pds5b,PDS5B,1
Susd6,SUSD6,1
Oxct1,OXCT1,1
Elavl3,ELAVL3,1
Unc80,UNC80,1
Ubap2l,UBAP2L,1
Clock,CLOCK,1
Ube2b,UBE2B,1
Dop1a,DOP1A,1
Sorbs1,SORBS1,1
Dlgap1,DLGAP1,1
Cltc,CLTC,1
Atp8a1,ATP8A1,1
Nsd1,NSD1,1
Peak1,PEAK1,1
Hmgcll1,HMGCLL1,1
Nrd1,Not found,N/A
Map7,MAP7,1
Pten,Not found,
Rev1,REV1,1
Pak7,Not found,N/A
Chd2,CHD2,1
Alms1,ALMS1,0
Sfswap,SFSWAP,1
Senp7,SENP7,1
Abcc5,ABCC5,1
Zfp407,ZNF407,1
Cdk13,CDK13,1
Slc2a13,SLC2A13,1
Mkln1,MKLN1,1
Dnajc1,DNAJC1,1
Akt3,AKT3,1
Mical2,MICAL2,1
Qk,Not found,N/A
Kansl1,KANSL1,1
Zfp280d,ZNF280D,1
N4bp2l2,N4BP2L2,1
Atp2b2,ATP2B2,1
Prpf40a,PRPF40A,1
Csnk1a1,CSNK1A1,1
Itch,ITCH,1
Fnbp1,FNBP1,1
Apba2,APBA2,1
Pcmtd1,PCMTD1,1
Csnk1g3,CSNK1G3,1
Nsd3,NSD3,1
Fyn,FYN,1
Auts2,AUTS2,1
Tmem108,TMEM108,1
Pkia,PKIA,1
Nrxn3,NRXN3,1
Arhgap5,ARHGAP5,1
Slc25a3,SLC25A3,1
Top1,TOP1,1
Rabgap1l,RABGAP1L,1
Trps1,TRPS1,1
Taok1,TAOK1,1
Fgf14,FGF14,1
Cog5,COG5,1
Ccar1,CCAR1,1
Pura,PURA,1
Rasa1,RASA1,1
Nrxn1,NRXN1,1
Cnot4,CNOT4,1
Fam168a,FAM168A,1
Fam49b,Not found,N/A
Atrx,ATRX,1
Chchd3,CHCHD3,1
Hdac8,HDAC8,1
Zfp608,ZNF608,1
Fth1,FTH1,1
Tmem178,TMEM178A,1
Ehmt1,EHMT1,1
Gria4,GRIA4,1
Ube2h,UBE2H,1
Erc1,ERC1,1
Nipbl,NIPBL,1
Htt,HTT,1
Med13,MED13,1
Arpp21,ARPP21,1
Phlpp1,PHLPP1,1
Wdr33,WDR33,1
Bach2,BACH2,1
Fmnl2,FMNL2,1
Ambra1,AMBRA1,1
Specc1,SPECC1,1
Pum1,PUM1,1
Syn2,SYN2,1
Taf15,TAF15,1
Fus,FUS,1
Itsn1,ITSN1,1
Spire1,SPIRE1,1
Ntrk3,NTRK3,1
Asph,ASPH,1
Npepps,NPEPPS,1
Rb1cc1,RB1CC1,1
App,APP,1
Cstf3,CSTF3,1
Wnk1,WNK1,1
Lyst,LYST,1
Rptor,RPTOR,1
Fut8,FUT8,1
Ube2w,UBE2W,1
Hivep2,HIVEP2,1
Plcl2,PLCL2,1
Pan3,PAN3,1
Mtmr3,MTMR3,1
Atad2b,ATAD2B,1
Dtna,DTNA,1
Maml3,MAML3,1
Nova1,NOVA1,1
Fam135a,FAM135A,1
Qrich1,QRICH1,1
Prr16,PRR16,1
Stk39,STK39,1
Fam193a,FAM193A,1
Cpeb2,CPEB2,1
Prpf39,PRPF39,1
Dnm1l,DNM1L,1
Ncam1,NCAM1,1
Galnt7,GALNT7,1
Rbfox3,RBFOX3,1
Map4,MAP4,0
Dip2b,DIP2B,1
Slmap,SLMAP,1
Med13l,MED13L,1
Zfp536,ZNF536,1
Ralyl,RALYL,1
Ftx,Not found,
St6galnac3,ST6GALNAC3,1
Ubash3b,UBASH3B,1
Sv2b,SV2B,1
Negr1,NEGR1,1
Rgs7,RGS7,1
Sorl1,SORL1,1
Ext1,EXT1,1
Slc12a6,SLC12A6,1
Add1,ADD1,1
Wdfy3,WDFY3,1
Ythdf3,YTHDF3,1
Zeb1,ZEB1,1
Clcn3,CLCN3,1
Tut4,TUT4,1
Srsf5,SRSF5,1
Sgms1,SGMS1,1
Wwox,WWOX,1
Cdh7,CDH7,1
Zfand3,ZFAND3,1
Mtdh,MTDH,1
Maml2,MAML2,1
Cacna2d1,CACNA2D1,1
Gpm6a,GPM6A,1
Nell2,NELL2,1
Cacna1c,CACNA1C,1
Csnk1g1,CSNK1G1,1
Sez6l,SEZ6L,1
Calm2,CALM2,1
Wac,WAC,1
Vps13c,VPS13C,1
Stag1,STAG1,1
Pip5k1b,PIP5K1B,1
Map4k3,MAP4K3,1
Aplp2,APLP2,1
Tspan7,TSPAN7,1
Bicd1,BICD1,1
Ryr2,RYR2,1
Phip,PHIP,1
Snd1,SND1,1
Glg1,GLG1,1
Zfp609,ZNF609,1
Pou2f1,POU2F1,1
Rtn1,RTN1,1
Bptf,BPTF,1
Rufy3,RUFY3,1
Camk2d,Not found,
Micu3,MICU3,1
Arid1b,ARID1B,1
Pik3r3,PIK3R3,1
Ppp2r5e,PPP2R5E,1
Nhsl2,NHSL2,1
Kif26b,KIF26B,1
Kif5c,KIF5C,1
Chka,CHKA,1
Kmt2c,KMT2C,1
Snrnp70,SNRNP70,1
Pacsin1,PACSIN1,1
Grin2a,GRIN2A,1
D430041D05Rik,KIAA1549L,1
Psd3,PSD3,1
Cers6,CERS6,1
Prkcb,PRKCB,1
Hnrnpu,HNRNPU,1
Tmtc2,TMTC2,1
Rab3c,RAB3C,1
Gatad2b,GATAD2B,1
Gnas,GNAS,0
Ankhd1,ANKHD1,1
Cdkal1,CDKAL1,1
Cdk17,CDK17,1
Dock4,DOCK4,1
Dym,DYM,1
Ank,ANKH,1
Amph,AMPH,1
Hnrnph1,HNRNPH1,1
Rapgef4,RAPGEF4,1
Dst,DST,1
Hectd4,HECTD4,1
Pde4d,PDE4D,1
Ptprr,PTPRR,1
Rock2,ROCK2,1
Srrm3,SRRM3,1
Adarb1,ADARB1,1
Nfib,NFIB,1
Phf21a,PHF21A,1
Dock9,DOCK9,1
Ckap5,CKAP5,1
Foxn3,FOXN3,1
Prkce,PRKCE,1
Pclo,PCLO,1
Mllt3,MLLT3,1
Dlg1,DLG1,1
Smarca2,SMARCA2,1
Rora,RORA,1
Epb41l1,EPB41L1,1
Dpp6,DPP6,1
Tasor,TASOR,1
Kirrel3,KIRREL3,1
Ntm,NTM,1
Msi2,MSI2,1
Cd47,CD47,1
Top2b,TOP2B,1
Ppm1l,PPM1L,1
Gnao1,GNAO1,1
Dleu2,Not found,
Pde3b,PDE3B,1
Atf7ip,ATF7IP,1
Galnt17,GALNT17,1
Erbb4,ERBB4,1
Camk2b,CAMK2B,1
Baz2b,BAZ2B,1
Ttc17,TTC17,1
Rit2,RIT2,1
Gramd1b,GRAMD1B,1
Fam135b,FAM135B,1
Slc44a1,SLC44A1,1
Bend6,BEND6,1
Nrg2,NRG2,1
Gm4258,Not found,N/A
Picalm,PICALM,1
Cacnb4,CACNB4,1
Cep170,CEP170,1
Clip1,CLIP1,1
Spop,SPOP,1
Crebbp,CREBBP,1
Kif1b,KIF1B,1
Dgkd,DGKD,1
Pde4b,PDE4B,1
Pkp4,PKP4,1
Celf1,CELF1,1
Epc1,EPC1,1
Tcf4,TCF4,1
Lrrtm3,LRRTM3,1
Msra,MSRA,1
Srgap3,SRGAP3,1
Rims2,RIMS2,1
